codigo;nome;uf;estado
5265;ABADIA DE GOIAS;GO;GOIÁS
2237;ABADIA DOS DOURADOS;MG;MINAS GERAIS
5266;ABADIANIA;GO;GOIÁS
2238;ABAETE;MG;MINAS GERAIS
152;ABAETETUBA;PA;PARA
888;ABAIARA;CE;CEARA
1822;ABAIRA;BA;BAHIA
1823;ABARE;BA;BAHIA
3903;ABATIA;PR;PARANÁ
4302;ABDON BATISTA;SC;SANTA CATARINA
153;ABEL FIGUEIREDO;PA;PARA
4303;ABELARDO LUZ;SC;SANTA CATARINA
2239;ABRE CAMPO;MG;MINAS GERAIS
1461;ABREU E LIMA;PE;PERNAMBUCO
311;ABREULANDIA;TO;TOCANTIS
2240;ACAIACA;MG;MINAS GERAIS
450;ACAILANDIA;MA;MARANHÃO
1824;ACAJUTIBA;BA;BAHIA
154;ACARA;PA;PARA
889;ACARAPE;CE;CEARA
890;ACARAU;CE;CEARA
1072;ACARI;RN;RIO GRANDE DO NORTE
667;ACAUA;PI;PIAUI
891;ACOPIARA;CE;CEARA
5139;ACORIZAL;MT;MATO GROSSO
53;ACRELANDIA;AC;ACRE
5267;ACREUNA;GO;GOIÁS
1073;ACU;RN;RIO GRANDE DO NORTE
2241;ACUCENA;MG;MINAS GERAIS
3258;ADAMANTINA;SP;SÃO PAULO
5268;ADELANDIA;GO;GOIÁS
3259;ADOLFO;SP;SÃO PAULO
3904;ADRIANOPOLIS;PR;PARANÁ
1825;ADUSTINA;BA;BAHIA
1462;AFOGADOS DA INGAZEIRA;PE;PERNAMBUCO
1074;AFONSO BEZERRA;RN;RIO GRANDE DO NORTE
3090;AFONSO CLAUDIO;ES;ESPÍRITO SANTO
451;AFONSO CUNHA;MA;MARANHÃO
1463;AFRANIO;PE;PERNAMBUCO
155;AFUA;PA;PARA
1464;AGRESTINA;PE;PERNAMBUCO
668;AGRICOLANDIA;PI;PIAUI
4304;AGROLANDIA;SC;SANTA CATARINA
4305;AGRONOMICA;SC;SANTA CATARINA
156;AGUA AZUL DO NORTE;PA;PARA
5140;AGUA BOA;MT;MATO GROSSO
2242;AGUA BOA;MG;MINAS GERAIS
1646;AGUA BRANCA;AL;ALAGOAS
669;AGUA BRANCA;PI;PIAUI
1238;AGUA BRANCA;PB;PARAIBA
5062;AGUA CLARA;MS;MATO GROSSO DO SUL
2243;AGUA COMPRIDA;MG;MINAS GERAIS
4306;AGUA DOCE;SC;SANTA CATARINA
452;AGUA DOCE DO MARANHAO;MA;MARANHÃO
3092;AGUA DOCE DO NORTE;ES;ESPÍRITO SANTO
1826;AGUA FRIA;BA;BAHIA
5269;AGUA FRIA DE GOIAS;GO;GOIÁS
5270;AGUA LIMPA;GO;GOIÁS
1075;AGUA NOVA;RN;RIO GRANDE DO NORTE
1465;AGUA PRETA;PE;PERNAMBUCO
4595;AGUA SANTA;RS;RIO GRANDE DO SUL
3260;AGUAI;SP;SÃO PAULO
2244;AGUANIL;MG;MINAS GERAIS
1466;AGUAS BELAS;PE;PERNAMBUCO
3261;AGUAS DA PRATA;SP;SÃO PAULO
4307;AGUAS DE CHAPECO;SC;SANTA CATARINA
3262;AGUAS DE LINDOIA;SP;SÃO PAULO
3263;AGUAS DE SANTA BARBARA;SP;SÃO PAULO
3264;AGUAS DE SAO PEDRO;SP;SÃO PAULO
2245;AGUAS FORMOSAS;MG;MINAS GERAIS
4308;AGUAS FRIAS;SC;SANTA CATARINA
5271;AGUAS LINDAS DE GOIAS;GO;GOIÁS
4309;AGUAS MORNAS;SC;SANTA CATARINA
2246;AGUAS VERMELHAS;MG;MINAS GERAIS
4596;AGUDO;RS;RIO GRANDE DO SUL
3265;AGUDOS;SP;SÃO PAULO
3905;AGUDOS DO SUL;PR;PARANÁ
3091;AGUIA BRANCA;ES;ESPÍRITO SANTO
1239;AGUIAR;PB;PARAIBA
312;AGUIARNOPOLIS;TO;TOCANTIS
2247;AIMORES;MG;MINAS GERAIS
1828;AIQUARA;BA;BAHIA
892;AIUABA;CE;CEARA
2248;AIURUOCA;MG;MINAS GERAIS
4597;AJURICABA;RS;RIO GRANDE DO SUL
2249;ALAGOA;MG;MINAS GERAIS
1240;ALAGOA GRANDE;PB;PARAIBA
1241;ALAGOA NOVA;PB;PARAIBA
1242;ALAGOINHA;PB;PARAIBA
1467;ALAGOINHA;PE;PERNAMBUCO
670;ALAGOINHA DO PIAUI;PI;PIAUI
1829;ALAGOINHAS;BA;BAHIA
3266;ALAMBARI;SP;SÃO PAULO
2250;ALBERTINA;MG;MINAS GERAIS
453;ALCANTARA;MA;MARANHÃO
893;ALCANTARAS;CE;CEARA
1243;ALCANTIL;PB;PARAIBA
5063;ALCINOPOLIS;MS;MATO GROSSO DO SUL
1830;ALCOBACA;BA;BAHIA
454;ALDEIAS ALTAS;MA;MARANHÃO
4598;ALECRIM;RS;RIO GRANDE DO SUL
3093;ALEGRE;ES;ESPÍRITO SANTO
4599;ALEGRETE;RS;RIO GRANDE DO SUL
671;ALEGRETE DO PIAUI;PI;PIAUI
4600;ALEGRIA;RS;RIO GRANDE DO SUL
2251;ALEM PARAIBA;MG;MINAS GERAIS
157;ALENQUER;PA;PARA
1076;ALEXANDRIA;RN;RIO GRANDE DO NORTE
5272;ALEXANIA;GO;GOIÁS
2252;ALFENAS;MG;MINAS GERAIS
3094;ALFREDO CHAVES;ES;ESPÍRITO SANTO
3267;ALFREDO MARCONDES;SP;SÃO PAULO
2253;ALFREDO VASCONCELOS;MG;MINAS GERAIS
4310;ALFREDO WAGNER;SC;SANTA CATARINA
1244;ALGODAO DE JANDAIRA;PB;PARAIBA
1245;ALHANDRA;PB;PARAIBA
1468;ALIANCA;PE;PERNAMBUCO
313;ALIANCA DO TOCANTINS;TO;TOCANTIS
1831;ALMADINA;BA;BAHIA
314;ALMAS;TO;TOCANTIS
158;ALMEIRIM;PA;PARA
2254;ALMENARA;MG;MINAS GERAIS
1077;ALMINO AFONSO;RN;RIO GRANDE DO NORTE
3906;ALMIRANTE TAMANDARE;PR;PARANÁ
5273;ALOANDIA;GO;GOIÁS
2255;ALPERCATA;MG;MINAS GERAIS
4601;ALPESTRE;RS;RIO GRANDE DO SUL
2256;ALPINOPOLIS;MG;MINAS GERAIS
5141;ALTA FLORESTA;MT;MATO GROSSO
1;ALTA FLORESTA D'OESTE;RO;RONDÔNIA
3268;ALTAIR;SP;SÃO PAULO
159;ALTAMIRA;PA;PARA
455;ALTAMIRA DO MARANHAO;MA;MARANHÃO
3907;ALTAMIRA DO PARANA;PR;PARANÁ
894;ALTANEIRA;CE;CEARA
2257;ALTEROSA;MG;MINAS GERAIS
1469;ALTINHO;PE;PERNAMBUCO
3269;ALTINOPOLIS;SP;SÃO PAULO
3270;ALTO ALEGRE;SP;SÃO PAULO
138;ALTO ALEGRE;RR;RORAIMA
4602;ALTO ALEGRE;RS;RIO GRANDE DO SUL
456;ALTO ALEGRE DO MARANHAO;MA;MARANHÃO
26;ALTO ALEGRE DO PARECIS;RO;RONDÔNIA
457;ALTO ALEGRE DO PINDARE;MA;MARANHÃO
5142;ALTO ARAGUAIA;MT;MATO GROSSO
4311;ALTO BELA VISTA;SC;SANTA CATARINA
5143;ALTO BOA VISTA;MT;MATO GROSSO
2258;ALTO CAPARAO;MG;MINAS GERAIS
1078;ALTO DO RODRIGUES;RN;RIO GRANDE DO NORTE
4603;ALTO FELIZ;RS;RIO GRANDE DO SUL
